model_id,model_label,experiment_dir,overall_summary_source,peak_comparison_source,peak_value_column,overall_mae,overall_rmse,overall_mape,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse
M1_hybrid_baseline,Hybrid Prophet + GRU (Baseline),experiments/baseline_reference_2026-07-14,experiments/baseline_reference_2026-07-14/evaluation/evaluation_summary.csv,experiments/peak_aware_2026-07-14_164518/evaluation/comparison_table.csv,baseline,1.745882,2.387813,111.940318,2.501220270363839,5.186215321890583,1.48526625156073,3.4908786895911854
M2_peak_aware_hybrid,Peak-Aware Hybrid Prophet + GRU,experiments/peak_aware_2026-07-14_164518,experiments/peak_aware_2026-07-14_164518/evaluation/evaluation_summary.csv,experiments/peak_aware_2026-07-14_164518/evaluation/comparison_table.csv,peak_aware,1.740819,2.384394,110.174351,2.525613525361348,5.204102317874833,1.4700396962602975,3.4508864179241363
M3_global_baseline,Global GRU (Official Baseline),experiments/global_gru_baseline_2026-07-17_121748,experiments/global_gru_baseline_2026-07-17_121748/evaluation/evaluation_summary.csv,experiments/peak_aware_global_validation_vs1_2026-07-17_170939/evaluation/comparison_table.csv,baseline,1.924241,2.610536,116.502574,3.4256506397556943,6.559444379008921,1.4062053128681655,2.4551932408455106
M4_peak_aware_global,Peak-Aware Global GRU,experiments/peak_aware_global_validation_vs1_2026-07-17_170939,experiments/peak_aware_global_validation_vs1_2026-07-17_170939/evaluation/evaluation_summary.csv,experiments/peak_aware_global_validation_vs1_2026-07-17_170939/evaluation/comparison_table.csv,peak_aware_global,2.173731,2.757713,163.771437,2.64903844724382,5.316428966799132,2.0097350937434495,3.5017954767561017
